n,number_of_clusters,does_span,total_cluster_area,occupation_prob
542,493,False,0.019712304777818136,0.03613092460502633
543,493,False,0.019712304777819413,0.03619758682754483
544,494,False,0.01971230477950569,0.03626424905006333
545,495,False,0.01971230477950581,0.036330911272581826
546,496,False,0.019712306336420335,0.036397573495100324
547,497,False,0.019712306336476138,0.03646423571761882
548,498,False,0.01971279832859141,0.03653089794013732
549,499,False,0.01971280058809147,0.03659756016265582
550,500,False,0.01971280058822983,0.03666422238517432
551,501,False,0.0197128005883276,0.03673088460769282
552,502,False,0.019712831778863002,0.03679754683021132
553,503,False,0.01973751258525782,0.036864209052729816
554,504,False,0.01973751370575712,0.036930871275248314
555,504,False,0.019737513705768237,0.03699753349776681
556,505,False,0.019737513705824286,0.03706419572028531
557,506,False,0.019737513705828023,0.03713085794280381
558,507,False,0.019737513705972605,0.03719752016532231
